Община,Населено място,Адрес,lat,lon
Обединено кралство Великобритания и Северна Ирландия,Мейдстоун,Мейдстоун,51.2704083,0.5227244999999999
Обединено кралство Великобритания и Северна Ирландия,Милтън Кийнс,Милтън Кийнс,52.0406224,-0.7594171
Обединено кралство Великобритания и Северна Ирландия,Норич,Норич,52.6292567,1.2978802
Обединено кралство Великобритания и Северна Ирландия,Нотингам,Нотингам,52.9540223,-1.1549892
Обединено кралство Великобритания и Северна Ирландия,Нюкасъл,Нюкасъл,54.21614,-5.8920445
Обединено кралство Великобритания и Северна Ирландия,Озуъстри,Озуъстри,52.857148,-3.056412
Обединено кралство Великобритания и Северна Ирландия,Оксфорд,Оксфорд,51.7520209,-1.2577263
Обединено кралство Великобритания и Северна Ирландия,Остров Ман,"Остров Ман, Дъглас",54.7877149,-6.4923145
Обединено кралство Великобритания и Северна Ирландия,Питърбъро,Питърбъро,52.57031689999999,-0.2407996999999999
Обединено кралство Великобритания и Северна Ирландия,Плимут,Плимут,50.3754565,-4.1426565
Обединено кралство Великобритания и Северна Ирландия,Портсмут,Портсмут,50.8197675,-1.0879769
Обединено кралство Великобритания и Северна Ирландия,Престън/Ланкастър,Престън/Ланкастър,54.0449072,-2.799346700000001
Обединено кралство Великобритания и Северна Ирландия,"Пърт, UK",Пърт,56.394994,-3.430838
Обединено кралство Великобритания и Северна Ирландия,Рединг,Рединг,51.45512009999999,-0.9787475
Обединено кралство Великобритания и Северна Ирландия,Рексъм,Рексъм,53.04304,-2.992494
Обединено кралство Великобритания и Северна Ирландия,Ромфорд,Ромфорд,51.5775231,0.1785814
Обединено кралство Великобритания и Северна Ирландия,Саутенд-он-сии,Саутенд-он-сии,51.5459269,0.7077123
Обединено кралство Великобритания и Северна Ирландия,Саутхемптън,Саутхемптън,50.9105468,-1.4049018
Обединено кралство Великобритания и Северна Ирландия,Стафорд,Стафорд,52.8067775,-2.1219612
Обединено кралство Великобритания и Северна Ирландия,Стоук он Трент,Стоук он Трент,53.0033369,-2.1827408
Обединено кралство Великобритания и Северна Ирландия,Стърминстър Нютън,Стърминстър Нютън,55.378051,-3.435973
Обединено кралство Великобритания и Северна Ирландия,Суиндън,Суиндън,51.5581438,-1.7798258
Обединено кралство Великобритания и Северна Ирландия,Телфорд,Телфорд,52.6762554,-2.4826625
Обединено кралство Великобритания и Северна Ирландия,Тънбридж Уелс,Тънбридж Уелс,51.132377,0.263695
Обединено кралство Великобритания и Северна Ирландия,Уестън Супер Мер,Уестън Супер Мер,55.378051,-3.435973
Обединено кралство Великобритания и Северна Ирландия,Уисбийч,Уисбийч,52.666317,0.158797
Обединено кралство Великобритания и Северна Ирландия,Уорингтън,Уорингтън,53.39203999999999,-2.6023453
Обединено кралство Великобритания и Северна Ирландия,Уотфорд,Уотфорд,51.66112829999999,-0.3970199
Обединено кралство Великобритания и Северна Ирландия,Устър/Уочестър,Устър/Уочестър,52.1941389,-2.2190523
Обединено кралство Великобритания и Северна Ирландия,Уулвърхамптън,Уулвърхамптън,52.5868159,-2.1256587
Обединено кралство Великобритания и Северна Ирландия,Хемел-Хемпстед,Хемел-Хемпстед,51.753241,-0.448632
Обединено кралство Великобритания и Северна Ирландия,Херефорд,Херефорд,52.05639799999999,-2.715974
Обединено кралство Великобритания и Северна Ирландия,Хъл,Хъл,53.7674909,-0.3273025
Обединено кралство Великобритания и Северна Ирландия,Чатъм ,Чатъм ,51.380952,0.52213
Обединено кралство Великобритания и Северна Ирландия,Челмсфорд,Челмсфорд,51.7355868,0.4685497
Обединено кралство Великобритания и Северна Ирландия,Честър,Честър,53.193392,-2.893075
Обединено кралство Великобритания и Северна Ирландия,Шефилд,Шефилд,53.38112899999999,-1.470085
