Община,Населено място,Адрес
Обединено кралство Великобритания и Северна Ирландия,Плимут,Плимут
Обединено кралство Великобритания и Северна Ирландия,Портсмут,Портсмут
Обединено кралство Великобритания и Северна Ирландия,Престън/Ланкастър,Престън/Ланкастър
Обединено кралство Великобритания и Северна Ирландия,"Пърт, UK",Пърт
Обединено кралство Великобритания и Северна Ирландия,Рединг,Рединг
Обединено кралство Великобритания и Северна Ирландия,Рексъм,Рексъм
Обединено кралство Великобритания и Северна Ирландия,Ромфорд,Ромфорд
Обединено кралство Великобритания и Северна Ирландия,Саутенд-он-сии,Саутенд-он-сии
Обединено кралство Великобритания и Северна Ирландия,Саутхемптън,Саутхемптън
Обединено кралство Великобритания и Северна Ирландия,Стафорд,Стафорд
Обединено кралство Великобритания и Северна Ирландия,Стоук он Трент,Стоук он Трент
Обединено кралство Великобритания и Северна Ирландия,Стърминстър Нютън,Стърминстър Нютън
Обединено кралство Великобритания и Северна Ирландия,Суиндън,Суиндън
Обединено кралство Великобритания и Северна Ирландия,Телфорд,Телфорд
Обединено кралство Великобритания и Северна Ирландия,Тънбридж Уелс,Тънбридж Уелс
Обединено кралство Великобритания и Северна Ирландия,Уестън Супер Мер,Уестън Супер Мер
Обединено кралство Великобритания и Северна Ирландия,Уисбийч,Уисбийч
Обединено кралство Великобритания и Северна Ирландия,Уорингтън,Уорингтън
Обединено кралство Великобритания и Северна Ирландия,Уотфорд,Уотфорд
Обединено кралство Великобритания и Северна Ирландия,Устър/Уочестър,Устър/Уочестър
Обединено кралство Великобритания и Северна Ирландия,Уулвърхамптън,Уулвърхамптън
Обединено кралство Великобритания и Северна Ирландия,Хемел-Хемпстед,Хемел-Хемпстед
Обединено кралство Великобритания и Северна Ирландия,Херефорд,Херефорд
Обединено кралство Великобритания и Северна Ирландия,Хъл,Хъл
Обединено кралство Великобритания и Северна Ирландия,Чатъм ,Чатъм 
Обединено кралство Великобритания и Северна Ирландия,Челмсфорд,Челмсфорд
Обединено кралство Великобритания и Северна Ирландия,Честър,Честър
Обединено кралство Великобритания и Северна Ирландия,Шефилд,Шефилд
